index,value
0,0.05709526577365274
1,0.15049886071679286
2,0.16041835897321452
3,0.2536674800549805
4,0.4207855249794391
5,0.5342311397816327
6,0.5469241819225368
7,0.599298436224956
8,0.7335975998238504
9,0.8833276639944799
10,0.9061407612688067
11,0.9074698114093261
12,1.0215818274923467
13,0.946135961623127
14,0.9340396724056087
15,1.0176878848936015
16,0.9700044129083231
17,1.0056836776475238
18,0.8908789661968994
19,0.929596261674683
20,0.9435827857277979
21,0.8309435086873027
22,0.7672247285186214
23,0.7451121603072618
24,0.573943665833107
25,0.4958030510752568
26,0.4695282933652398
27,0.29275335468161867
28,0.19924717416470514
29,0.011599206038330645
30,0.07119034728164275
31,-0.17271476447140421
32,-0.30614499575545295
33,-0.35494673657165676
34,-0.5341810127450405
35,-0.5815480328920962
36,-0.5938854910234677
37,-0.6046726527687794
38,-0.7566017682601937
39,-0.7961424239494929
40,-0.882021122584665
41,-1.0019704506051659
42,-0.9752290319381158
43,-1.003647124003274
44,-0.9386882265199633
45,-1.0020473600758641
46,-1.0499054712142775
47,-0.8850315298514458
48,-0.893769459409696
49,-0.9664793178872557
50,-0.8123954470874353
51,-0.9056042019764309
52,-0.7280935646716266
53,-0.6567544484448368
54,-0.517477409830019
55,-0.576011036017846
56,-0.3931901724411957
57,-0.28095453013425875
58,-0.234403169719602
59,-0.07757735369271204
60,-1.3893829892910639
61,-1.4816466784386422
62,-1.494158795610423
63,-1.3306717007311835
64,-1.2837085364546754
65,-1.295065215975
66,-1.200134015445381
67,-1.173697962749266
68,-1.1273989077382953
69,-1.050955007423598
70,-0.9176591805870183
71,-1.0053531296107896
72,-0.8703094803666372
73,-0.8577832310542558
74,-0.7668356353535658
75,-0.6886603319655689
76,-0.6558015078113454
77,-0.6389137726648936
78,-0.554014895701507
79,-0.5869687909294434
80,-0.45982411252342903
81,-0.46269708723815184
82,-0.43819194302530284
83,-0.4432278371363725
84,-0.39306531000137584
85,-0.2788299940558152
86,-0.22044969031061235
87,-0.13757695311917287
88,-0.12404564774513871
89,-0.027689397132304477
90,-0.022329444444019565
91,0.052281934393252835
92,0.13522831636567817
93,0.13640879908164222
94,0.20403743895761936
95,0.312954823481701
96,0.3381754919120366
97,0.4361040540075487
98,0.40729750270268616
99,0.4002668493768907
100,0.5100374812981693
101,0.5948118221967784
102,0.675585960656661
103,0.5798263135962561
104,0.6046515175786249
105,0.8184282724368657
106,0.7720163483817309
107,0.8872304076837099
108,0.9786832797840535
109,1.0064021720909095
110,0.9903959206651373
111,0.9372753169082744
112,1.1219925931454064
113,1.1828400163299932
114,1.1627524919285317
115,1.3099737663474507
116,1.3889873376099335
117,1.3533702076037852
118,1.4647532011005355
119,1.4208661735774875
120,0.03844341191229203
121,0.1254116907763419
122,0.18445707901822556
123,0.3297244030380766
124,0.4398877794526077
125,0.5433597318768135
126,0.6026202961827571
127,0.6852067591846277
128,0.854359593382305
129,0.8508094047674423
130,0.8063602888857697
131,0.9194857149421038
132,0.9789585680273212
133,0.8805120774789539
134,1.0693246622857209
135,0.961870890565939
136,1.0392807778138782
137,0.9690140555876335
138,0.9975446894949556
139,0.8916714396512355
140,0.8607798568329272
141,0.778445082180547
142,0.7607830587016224
143,0.611904775818925
144,0.5550936623459491
145,0.633854855425714
146,0.41430272889792324
147,0.40136885438086123
148,0.22994885656681802
149,0.1483939175298832
150,0.04734903471943917
151,-0.13951714556838
152,-0.32367205219031253
153,-0.30427698431619904
154,-0.397134787934644
155,-0.5504065416144301
156,-0.6953211125740981
157,-0.5882785259396122
158,-0.7157772771956195
159,-0.7278665127094535
160,-0.847541938840931
161,-0.8523428260662373
162,-0.9073004704775828
163,-0.9926478221155054
164,-0.9728551683873188
165,-0.9496512801617715
166,-0.9053714880920836
167,-0.9103040849085163
168,-0.9287600042168603
169,-0.8439698179399173
170,-0.8643776330217015
171,-0.8491082383674774
172,-0.7440039571382328
173,-0.7349548781853442
174,-0.5891761800532704
175,-0.40140083304584173
176,-0.33794323787876285
177,-0.37255148686987405
178,-0.19331000180633445
179,-0.027862499681075265
180,-1.4947689787055134
181,-1.5156580183587944
182,-1.3110001752784155
183,-1.330237261529569
184,-1.325023141616215
185,-1.3520369696311947
186,-1.1456535541710107
187,-1.2020424565588848
188,-1.001917087137909
189,-1.0037068389351131
190,-0.9319171532670362
191,-0.8055173724676132
192,-0.9245506835372734
193,-0.8855099291588401
194,-0.7214766639668901
195,-0.7921204248649756
196,-0.7165965384301034
197,-0.7349423834939555
198,-0.6265570755896055
199,-0.6793781491638112
200,-0.4849217737611913
201,-0.507640264481182
202,-0.48566642543381305
203,-0.34593401209824615
204,-0.36639306088151574
205,-0.2151706895982161
206,-0.2643835665678816
207,-0.08745470465667135
208,-0.099372389986627
209,-0.01716512542774897
210,-0.06606765029506985
211,0.09074586147520988
212,0.13055204638700493
213,0.1561740447439272
214,0.21942012875098252
215,0.22089363809714502
216,0.3216717844420888
217,0.31019784477490053
218,0.403199764956157
219,0.4128944462165439
220,0.5590331798053314
221,0.5959909304189007
222,0.661900258941756
223,0.6464557249248044
224,0.6717051969874553
225,0.802541061412236
226,0.847205826526306
227,0.8154419546611134
228,0.9442981904675212
229,0.8233314330228804
230,1.0208160187603224
231,1.0703145199203083
232,1.1420930822889646
233,1.132596319678699
234,1.253517725751498
235,1.2382611545642361
236,1.3077863199303619
237,1.3834154789259503
238,1.4184256071620114
239,1.4548549668598252
240,-0.06194268758849258
241,0.09126197948808368
242,0.17775475454696613
243,0.3016978299445252
244,0.5008421613670514
245,0.5921793483994507
246,0.5490666728123176
247,0.6614631026628081
248,0.7500052658291255
249,0.7634203644017441
250,0.8755595088940047
251,0.9497063182078003
252,0.9292397030091248
253,0.9691018298797002
254,1.0347108418337496
255,1.0693126570383793
256,0.9770972498756055
257,1.0308332932197777
258,0.9535509802724255
259,0.9819178840040927
260,0.8793623617150758
261,0.8103800027048821
262,0.7016190200064463
263,0.6890340985230506
264,0.5995220700095074
265,0.5259989119769417
266,0.39551481840348474
267,0.3566109417585519
268,0.20023115067240552
269,0.046555172354606725
270,0.045885719835595515
271,-0.1492174105722747
272,-0.2040311345613538
273,-0.26053035250095813
274,-0.4277037347228183
275,-0.5018867706469777
276,-0.6114467534961178
277,-0.7118991441462448
278,-0.6328856685991648
279,-0.8422681513209638
280,-0.775910514074729
281,-0.8773773413831637
282,-0.9093382333893323
283,-0.9027532595569949
284,-0.9008580282198309
285,-0.9912171325618059
286,-0.9533694032779291
287,-1.0313576505233952
288,-1.0169815968081537
289,-0.8937784454124125
290,-0.8513346064611113
291,-0.7636047223519677
292,-0.7411927040958817
293,-0.648513374373261
294,-0.6306490665550593
295,-0.5202267778625522
296,-0.3601807281069386
297,-0.28688780964877997
298,-0.24611473296222355
299,-0.1547624613444925
300,-1.442554705168879
301,-1.4208813225064891
302,-1.4260077305680208
303,-1.3971372944348528
304,-1.3596027687241425
305,-1.171099199682986
